"gene_name","uniprot","hgnc_symbol","ensembl"
"ANKRD33B","A6NCL7","ANKRD33B","ENSG00000164236"
"IFT88","Q13099","IFT88","ENSG00000032742"
"OR2B6","P58173","OR2B6","ENSG00000124657"
"TRIM44","Q96DX7","TRIM44","ENSG00000166326"
"FKBP6","O75344","FKBP6","ENSG00000077800"
"SHROOM4","Q9ULL8","SHROOM4","ENSG00000158352"
"OSGEP","Q9NPF4","OSGEP","ENSG00000092094"
"OR2H2","O95918","OR2H2","ENSG00000229185"
"UBD","O15205","UBD","ENSG00000228913"
"TMEM239","Q8WW34","TMEM239","ENSG00000198326"
"ASMT","P46597","ASMT","ENSG00000196433"
"LDHAL6A","Q6ZMR3","LDHAL6A","ENSG00000166800"
"CCNY","Q8ND76","CCNY","ENSG00000108100"
"UBE2L6","O14933","UBE2L6","ENSG00000156587"
"C20orf141","Q9NUB4","C20orf141","ENSG00000258713"
"ANKRD63","C9JTQ0","ANKRD63","ENSG00000230778"
"TRIM39","Q9HCM9","TRIM39","ENSG00000204599"
"IFNGR2","P38484","IFNGR2","ENSG00000262795"
"HMOX2","P30519","HMOX2","ENSG00000277424"
"SERPINA6","P08185","SERPINA6","ENSG00000277405"
"GJD4","Q96KN9","GJD4","ENSG00000177291"
"FZD8","Q9H461","FZD8","ENSG00000177283"
"L2HGDH","Q9H9P8","L2HGDH","ENSG00000087299"
"TSG101","Q99816","TSG101","ENSG00000074319"
"RPP21","Q9H633","RPP21","ENSG00000241370"
"FZD9","O00144","FZD9","ENSG00000188763"
"TMEM50B","P56557","TMEM50B","ENSG00000263160"
"DUOX1","Q9NRD9","DUOX1","ENSG00000137857"
"PPP1R18","Q6NYC8","PPP1R18","ENSG00000234000"
"KIR3DL2","P43630","KIR3DL2","ENSG00000275566"
"SKOR1","P84550","SKOR1","ENSG00000188779"
"LY6G5C","Q5SRR4","LY6G5C","ENSG00000231325"
"HIP1","O00291","HIP1","ENSG00000127946"
"UBR7","Q8N806","UBR7","ENSG00000278787"
"HLA-DQB2","P05538","HLA-DQB2","ENSG00000224305"
"ZSWIM3","Q96MP5","ZSWIM3","ENSG00000132801"
"TENT2","Q6PIY7","TENT2","ENSG00000164329"
"GON7","Q9BXV9","GON7","ENSG00000275619"
"TMEM251","Q8N6I4","TMEM251","ENSG00000275947"
"BMP15","O95972","BMP15","ENSG00000130385"
"DNMT3L","Q9UJW3","DNMT3L","ENSG00000142182"
"C20orf173","Q96LM9","C20orf173","ENSG00000125975"
"THEMIS","Q8N1K5","THEMIS","ENSG00000275122"
"TNFSF11","O14788","TNFSF11","ENSG00000120659"
"ZSWIM1","Q9BR11","ZSWIM1","ENSG00000168612"
"FAM20C","Q8IXL6","FAM20C","ENSG00000177706"
"SREK1","Q8WXA9","SREK1","ENSG00000153914"
"FSHR","P23945","FSHR","ENSG00000170820"
"GABBR1","Q9UBS5","GABBR1","ENSG00000232632"
"CT47A12","Q5JQC4","CT47A12","ENSG00000226685"
"TSEN34","Q9BSV6","TSEN34","ENSG00000278622"
"PAN3","Q58A45","PAN3","ENSG00000152520"
"ADAP1","O75689","ADAP1","ENSG00000105963"
"RPS21","P63220","RPS21","ENSG00000171858"
"DEFB125","Q8N687","DEFB125","ENSG00000178591"
"RNF5","Q99942","RNF5","ENSG00000204308"
"SRMS","Q9H3Y6","SRMS","ENSG00000125508"
"RMND5A","Q9H871","RMND5A","ENSG00000153561"
"CT47A11","Q5JQC4","CT47A11","ENSG00000226929"
"DEFB126","Q9BYW3","DEFB126","ENSG00000125788"
"CT47A10","Q5JQC4","CT47A10","ENSG00000224089"
"RNF103","O00237","RNF103","ENSG00000239305"
"LYZL1","Q6UWQ5","LYZL1","ENSG00000120563"
"VARS","P26640","VARS","ENSG00000096171"
"DDAH2","O95865","DDAH2","ENSG00000213722"
"EN1","Q05925","EN1","ENSG00000163064"
"TLX2","O43763","TLX2","ENSG00000115297"
"ELF4","Q99607","ELF4","ENSG00000102034"
"KRTAP1-3","Q8IUG1","KRTAP1-3","ENSG00000262347"
"KRTAP1-1","Q07627","KRTAP1-1","ENSG00000262808"
"COX19","Q49B96","COX19","ENSG00000240230"
"MBD3L5","A6NJ08","MBD3L5","ENSG00000237247"
"KRTAP2-1","Q9BYU5","KRTAP2-1","ENSG00000261852"
"SRD5A3","Q9H8P0","SRD5A3","ENSG00000128039"
"MBD3L4","A6NDZ8","MBD3L4","ENSG00000205718"
"CCR8","P51685","CCR8","ENSG00000179934"
"KRTAP2-3","P0C7H8","KRTAP2-3","ENSG00000262862"
"CT47A9","Q5JQC4","CT47A9","ENSG00000226600"
"NLRP14","Q86W24","NLRP14","ENSG00000158077"
"PLEKHG4B","Q96PX9","PLEKHG4B","ENSG00000153404"
"ARMH3","Q5T2E6","ARMH3","ENSG00000120029"
"MBD3L2","Q8NHZ7","MBD3L2","ENSG00000230522"
"LDLRAD3","Q86YD5","LDLRAD3","ENSG00000179241"
"OTUB1","Q96FW1","OTUB1","ENSG00000167770"
"NOL4L","Q96MY1","NOL4L","ENSG00000197183"
"TIPIN","Q9BVW5","TIPIN","ENSG00000075131"
"DEFB127","Q9H1M4","DEFB127","ENSG00000088782"
"SPATA25","Q9BR10","SPATA25","ENSG00000149634"
"DEFB128","Q7Z7B8","DEFB128","ENSG00000185982"
"KCNIP3","Q9Y2W7","KCNIP3","ENSG00000115041"
"HLA-B","P30461","HLA-B","ENSG00000224608"
"HLA-B","P03989","HLA-B","ENSG00000224608"
"HLA-B","P30485","HLA-B","ENSG00000224608"
"HLA-B","P30487","HLA-B","ENSG00000224608"
"HLA-B","P18465","HLA-B","ENSG00000224608"
"HLA-B","P10319","HLA-B","ENSG00000224608"
"ZSCAN16","Q9H4T2","ZSCAN16","ENSG00000196812"
"FLRT1","Q9NZU1","FLRT1","ENSG00000126500"
"SLC6A8","P48029","SLC6A8","ENSG00000130821"
"CHMP3","Q9Y3E7","CHMP3","ENSG00000115561"
"SPACA7","Q96KW9","SPACA7","ENSG00000153498"
"SLC25A38","Q96DW6","SLC25A38","ENSG00000144659"
"SAPCD1","Q5SSQ6","SAPCD1","ENSG00000228727"
"TIMM22","Q9Y584","TIMM22","ENSG00000177370"
"HLA-E","P13747","HLA-E","ENSG00000230254"
"LENG8","Q96PV6","LENG8","ENSG00000276458"
"ZNF165","P49910","ZNF165","ENSG00000197279"
"AMTN","Q6UX39","AMTN","ENSG00000187689"
"SLC6A11","P48066","SLC6A11","ENSG00000132164"
"TMED3","Q9Y3Q3","TMED3","ENSG00000166557"
"KRTAP2-4","Q9BYR9","KRTAP2-4","ENSG00000263091"
"MACROD1","Q9BQ69","MACROD1","ENSG00000133315"
"BAZ1B","Q9UIG0","BAZ1B","ENSG00000009954"
"TANC1","Q9C0D5","TANC1","ENSG00000115183"
"MCM10","Q7L590","MCM10","ENSG00000065328"
"ALDH3B2","P48448","ALDH3B2","ENSG00000132746"
"RPEL1","Q2QD12","RPEL1","ENSG00000235376"
"TUBB4A","P04350","TUBB4A","ENSG00000104833"
"HNRNPA0","Q13151","HNRNPA0","ENSG00000177733"
"MINAR1","Q9UPX6","MINAR1","ENSG00000169330"
"RPS9","P46781","RPS9","ENSG00000274646"
"COX8A","P10176","COX8A","ENSG00000176340"
"NSG2","Q9Y328","NSG2","ENSG00000170091"
"DENND11","A4D1U4","DENND11","ENSG00000262599"
"INA","Q16352","INA","ENSG00000148798"
"MOAP1","Q96BY2","MOAP1","ENSG00000165943"
"B4GALT1","P15291","B4GALT1","ENSG00000086062"
"CDKL1","Q00532","CDKL1","ENSG00000100490"
"NPBWR2","P48146","NPBWR2","ENSG00000277339"
"AGK","Q53H12","AGK","ENSG00000262327"
"HPS6","Q86YV9","HPS6","ENSG00000166189"
"CALR","P27797","CALR","ENSG00000179218"
"MARCO","Q9UEW3","MARCO","ENSG00000019169"
"C6orf118","Q5T5N4","C6orf118","ENSG00000112539"
"MUC12","Q9UKN1","MUC12","ENSG00000205277"
"BCL11A","Q9H165","BCL11A","ENSG00000119866"
"CCDC173","Q0VFZ6","CCDC173","ENSG00000154479"
"DMAC2L","Q99766","DMAC2L","ENSG00000125375"
"TNNT3","P45378","TNNT3","ENSG00000130595"
"KRTAP4-11","Q9BYQ6","KRTAP4-11","ENSG00000263229"
"KRTAP4-12","Q9BQ66","KRTAP4-12","ENSG00000263236"
"PITPNA","Q00169","PITPNA","ENSG00000174238"
"MYOT","Q9UBF9","MYOT","ENSG00000120729"
"KRTAP29-1","A8MX34","KRTAP29-1","ENSG00000262218"
"ESCO1","Q5FWF5","ESCO1","ENSG00000141446"
"C10orf120","Q5SQS8","C10orf120","ENSG00000183559"
"PCSK7","Q16549","PCSK7","ENSG00000160613"
"PROC","P04070","PROC","ENSG00000115718"
"RDH10","Q8IZV5","RDH10","ENSG00000121039"
"NIPA1","Q7RTP0","NIPA1","ENSG00000170113"
"CMYA5","Q8N3K9","CMYA5","ENSG00000164309"
"SPINK4","O60575","SPINK4","ENSG00000122711"
"DENND4C","Q5VZ89","DENND4C","ENSG00000137145"
"HLA-DOA","P06340","HLA-DOA","ENSG00000206292"
"KIAA1217","Q5T5P2","KIAA1217","ENSG00000120549"
"SOX6","P35712","SOX6","ENSG00000110693"
"CCNJL","Q8IV13","CCNJL","ENSG00000135083"
"KLF3","P57682","KLF3","ENSG00000109787"
"IFFO2","Q5TF58","IFFO2","ENSG00000169991"
"RIOK1","Q9BRS2","RIOK1","ENSG00000124784"
"RPL7","P18124","RPL7","ENSG00000147604"
"SEMA3A","Q14563","SEMA3A","ENSG00000075213"
"RIDA","P52758","RIDA","ENSG00000132541"
"CLDN17","P56750","CLDN17","ENSG00000156282"
"NRM","Q8IXM6","NRM","ENSG00000236843"
"VPS26B","Q4G0F5","VPS26B","ENSG00000151502"
"CLDN8","P56748","CLDN8","ENSG00000156284"
"CCL2","P13500","CCL2","ENSG00000108691"
"SLC35E4","Q6ICL7","SLC35E4","ENSG00000100036"
"KRTAP24-1","Q3LI83","KRTAP24-1","ENSG00000188694"
"DUSP18","Q8NEJ0","DUSP18","ENSG00000167065"
"KRTAP25-1","Q3LHN0","KRTAP25-1","ENSG00000232263"
"PNLIPRP1","P54315","PNLIPRP1","ENSG00000187021"
"CLIC1","O00299","CLIC1","ENSG00000213719"
"C11orf58","O00193","C11orf58","ENSG00000110696"
"BAG1","Q99933","BAG1","ENSG00000107262"
"CCND3","P30281","CCND3","ENSG00000112576"
"SPECC1","Q5M775","SPECC1","ENSG00000128487"
"IL15RA","Q13261","IL15RA","ENSG00000134470"
"ZNF680","Q8NEM1","ZNF680","ENSG00000173041"
"CCL7","P80098","CCL7","ENSG00000108688"
"HLA-DPA1","P20036","HLA-DPA1","ENSG00000206291"
"ALKBH8","Q96BT7","ALKBH8","ENSG00000137760"
"ASDURF","L0R819","ASDURF","ENSG00000286053"
"TSKU","Q8WUA8","TSKU","ENSG00000182704"
"AFF2","P51816","AFF2","ENSG00000155966"
"COMMD4","Q9H0A8","COMMD4","ENSG00000140365"
