,Germ.GC,Germ.PGC,Germ.oocyte,Germ.oogonia_STRA8,Germ.oogonia_meiotic,Germ.pre_oocyte,Somatic.CoelEpi_LHX9,Somatic.OSE,Somatic.early_supporting,Somatic.granulosa,Somatic.preGC_I,Somatic.preGC_IIa,Somatic.preGC_IIb
A1BG,0.39,0.32,0.16,0.45,0.07,0.21,0.19,0.22,0.13,0.2,0.11,0.26,0.24
A1BG-AS1,0.02,0.03,0.07,0.03,0.01,0.04,0.01,0.03,0.02,0.02,0.01,0.02,0.03
A1CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.28,0.22,0.01,0.05,0.02,0.03,0.03,0.03,0.01,0.05,0.01,0.02,0.01
A2M-AS1,0.03,0.01,0.0,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
A2ML1,0.02,0.04,0.32,0.0,0.01,0.08,0.03,0.07,0.13,0.15,0.11,0.24,0.21
A2ML1-AS1,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.0
A3GALT2,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,0.21,0.57,0.47,0.07,0.01,0.18,0.09,0.09,0.33,0.09,0.21,0.3,0.24
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,0.77,0.77,0.54,0.71,0.34,0.43,0.5,0.4,0.46,0.23,0.32,0.35,0.29
AACS,0.06,0.17,0.18,0.1,0.1,0.13,0.15,0.14,0.21,0.1,0.13,0.14,0.12
AADAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2-AS1,0.31,0.22,0.08,0.35,0.16,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,0.18,0.15,0.13,0.15,0.17,0.21,0.11,0.06,0.13,0.02,0.05,0.05,0.04
AAED1,0.36,0.47,0.08,0.3,0.23,0.28,0.12,0.17,0.04,0.09,0.05,0.11,0.1
AAGAB,0.44,0.56,0.36,0.55,0.61,0.51,0.24,0.25,0.35,0.13,0.21,0.19,0.19
AAK1,0.31,0.35,0.34,0.3,0.19,0.33,0.23,0.21,0.28,0.12,0.15,0.18,0.17
AAMDC,0.7,0.67,0.35,0.94,0.69,0.52,0.48,0.42,0.56,0.38,0.61,0.48,0.51
AAMP,0.84,0.89,0.34,0.78,0.47,0.48,0.57,0.58,0.72,0.63,0.59,0.61,0.57
AANAT,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0
AAR2,0.35,0.47,0.32,0.45,0.38,0.43,0.3,0.28,0.31,0.18,0.21,0.24,0.22
AARD,0.08,0.16,0.0,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.0,0.01,0.01
AARS,0.52,0.58,0.19,0.62,0.32,0.34,0.39,0.35,0.32,0.21,0.24,0.27,0.26
AARS2,0.11,0.19,0.03,0.14,0.05,0.08,0.12,0.12,0.1,0.07,0.07,0.08,0.07
AARSD1,0.22,0.29,0.12,0.22,0.21,0.16,0.13,0.09,0.07,0.06,0.08,0.08,0.08
AASDH,0.3,0.43,0.17,0.28,0.38,0.31,0.24,0.21,0.27,0.17,0.19,0.21,0.17
AASDHPPT,0.85,0.86,0.43,0.77,0.48,0.41,0.69,0.59,0.63,0.6,0.53,0.57,0.51
AASS,0.05,0.02,0.06,0.08,0.1,0.05,0.16,0.16,0.12,0.1,0.08,0.12,0.11
AATBC,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AATF,0.75,0.85,0.51,0.73,0.62,0.6,0.64,0.41,0.3,0.19,0.16,0.28,0.21
AATK,0.0,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.01,0.02,0.02
AB015752.1,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABALON,0.03,0.03,0.0,0.04,0.04,0.02,0.01,0.01,0.02,0.0,0.01,0.0,0.01
ABAT,0.03,0.07,0.11,0.01,0.01,0.01,0.03,0.04,0.23,0.05,0.18,0.1,0.1
ABCA1,0.17,0.31,0.17,0.05,0.04,0.11,0.16,0.08,0.41,0.58,0.32,0.16,0.15
ABCA10,0.01,0.01,0.03,0.01,0.08,0.04,0.0,0.0,0.01,0.1,0.02,0.0,0.01
ABCA12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA13,0.09,0.06,0.05,0.2,0.11,0.14,0.01,0.01,0.0,0.0,0.0,0.0,0.0
ABCA2,0.01,0.02,0.03,0.04,0.01,0.02,0.02,0.04,0.05,0.18,0.05,0.06,0.12
ABCA3,0.15,0.11,0.11,0.2,0.14,0.13,0.03,0.04,0.01,0.08,0.03,0.04,0.06
ABCA4,0.01,0.01,0.03,0.0,0.03,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.0
ABCA5,0.47,0.4,0.42,0.4,0.56,0.53,0.12,0.14,0.15,0.13,0.17,0.12,0.13
ABCA6,0.0,0.0,0.02,0.0,0.06,0.03,0.0,0.0,0.06,0.01,0.01,0.0,0.0
ABCA7,0.04,0.06,0.05,0.05,0.05,0.03,0.03,0.02,0.06,0.02,0.04,0.04,0.05
ABCA8,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.05,0.18,0.12,0.01,0.03
ABCA9,0.0,0.0,0.01,0.01,0.03,0.01,0.0,0.0,0.04,0.05,0.01,0.0,0.0
ABCA9-AS1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.04,0.0,0.0
ABCB1,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB10,0.09,0.11,0.07,0.13,0.15,0.1,0.06,0.04,0.04,0.04,0.02,0.02,0.03
ABCB11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB4,0.02,0.0,0.18,0.01,0.04,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB5,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0
ABCB6,0.02,0.01,0.01,0.03,0.03,0.02,0.02,0.02,0.01,0.03,0.01,0.02,0.02
ABCB7,0.62,0.65,0.44,0.65,0.46,0.5,0.25,0.28,0.23,0.27,0.18,0.23,0.21
ABCB8,0.34,0.65,0.21,0.37,0.19,0.19,0.15,0.16,0.14,0.07,0.11,0.11,0.12
ABCB9,0.11,0.13,0.06,0.09,0.07,0.03,0.07,0.07,0.07,0.03,0.06,0.08,0.08
ABCC1,0.16,0.16,0.29,0.06,0.05,0.26,0.27,0.27,0.38,0.14,0.21,0.28,0.26
ABCC10,0.08,0.17,0.03,0.13,0.08,0.09,0.07,0.05,0.11,0.05,0.08,0.06,0.07
ABCC11,0.03,0.02,0.0,0.02,0.04,0.04,0.01,0.01,0.02,0.0,0.0,0.0,0.01
ABCC12,0.09,0.32,0.07,0.04,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC2,0.01,0.1,0.0,0.01,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC3,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0
ABCC4,0.37,0.36,0.4,0.28,0.05,0.2,0.05,0.05,0.03,0.05,0.04,0.06,0.11
ABCC5,0.26,0.39,0.27,0.22,0.3,0.36,0.18,0.12,0.37,0.08,0.17,0.17,0.14
ABCC5-AS1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6,0.02,0.02,0.04,0.0,0.01,0.01,0.03,0.01,0.01,0.02,0.05,0.02,0.01
ABCC8,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC9,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.12,0.0,0.0,0.02
ABCD1,0.02,0.02,0.05,0.09,0.11,0.2,0.04,0.05,0.1,0.05,0.06,0.08,0.09
ABCD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01
ABCD3,0.36,0.39,0.41,0.34,0.25,0.31,0.19,0.14,0.18,0.11,0.12,0.11,0.11
ABCD4,0.42,0.55,0.26,0.33,0.35,0.31,0.31,0.29,0.39,0.37,0.29,0.3,0.32
ABCE1,0.92,0.92,0.51,0.82,0.65,0.56,0.47,0.38,0.37,0.28,0.28,0.33,0.24
ABCF1,0.76,0.85,0.41,0.63,0.45,0.54,0.39,0.33,0.38,0.19,0.25,0.32,0.29
ABCF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF2-1,0.12,0.16,0.06,0.12,0.1,0.14,0.1,0.08,0.1,0.07,0.07,0.08,0.1
ABCF3,0.35,0.57,0.29,0.28,0.21,0.29,0.2,0.22,0.28,0.16,0.23,0.21,0.21
ABCG1,0.0,0.01,0.0,0.0,0.01,0.0,0.03,0.04,0.06,0.04,0.05,0.06,0.05
ABCG2,0.08,0.03,0.06,0.03,0.02,0.02,0.0,0.01,0.01,0.01,0.01,0.0,0.0
ABCG4,0.03,0.05,0.04,0.04,0.04,0.05,0.02,0.01,0.01,0.0,0.0,0.0,0.0
ABCG5,0.0,0.01,0.04,0.01,0.02,0.01,0.0,0.0,0.04,0.01,0.04,0.02,0.01
ABCG8,0.0,0.0,0.08,0.0,0.04,0.03,0.0,0.0,0.06,0.02,0.03,0.01,0.01
ABHD1,0.02,0.01,0.0,0.04,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01
ABHD10,0.84,0.76,0.59,0.84,0.7,0.58,0.26,0.18,0.32,0.21,0.19,0.23,0.18
ABHD11,0.22,0.32,0.07,0.31,0.13,0.12,0.1,0.11,0.15,0.08,0.11,0.09,0.1
ABHD12,0.71,0.75,0.64,0.64,0.51,0.57,0.39,0.4,0.29,0.34,0.28,0.27,0.28
ABHD12B,0.12,0.22,0.58,0.03,0.03,0.2,0.06,0.25,0.0,0.0,0.0,0.01,0.01
ABHD13,0.12,0.25,0.13,0.14,0.14,0.24,0.19,0.18,0.23,0.14,0.18,0.17,0.15
ABHD14A,0.12,0.11,0.17,0.26,0.16,0.29,0.04,0.03,0.03,0.03,0.02,0.03,0.04
ABHD14A-ACY1,0.01,0.01,0.0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
ABHD14B,0.36,0.66,0.18,0.12,0.03,0.07,0.23,0.29,0.24,0.25,0.23,0.29,0.22
ABHD15,0.02,0.02,0.0,0.03,0.01,0.0,0.02,0.03,0.01,0.02,0.01,0.01,0.01
ABHD16A,0.45,0.75,0.23,0.55,0.53,0.48,0.29,0.24,0.37,0.18,0.21,0.16,0.16
ABHD16B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17A,0.25,0.33,0.14,0.3,0.2,0.21,0.39,0.26,0.48,0.18,0.25,0.22,0.26
ABHD17B,0.05,0.07,0.1,0.09,0.14,0.12,0.12,0.09,0.24,0.08,0.08,0.08,0.11
ABHD17C,0.06,0.13,0.06,0.19,0.12,0.08,0.1,0.05,0.14,0.03,0.05,0.05,0.05
ABHD18,0.39,0.42,0.2,0.44,0.37,0.27,0.15,0.16,0.18,0.12,0.14,0.17,0.13
ABHD2,0.21,0.24,0.56,0.27,0.15,0.24,0.14,0.15,0.2,0.23,0.13,0.14,0.22
ABHD3,0.33,0.36,0.21,0.26,0.08,0.11,0.08,0.07,0.09,0.11,0.03,0.03,0.04
ABHD4,0.04,0.13,0.04,0.01,0.02,0.03,0.24,0.25,0.19,0.18,0.18,0.21,0.22
ABHD5,0.45,0.46,0.46,0.61,0.64,0.65,0.17,0.17,0.26,0.09,0.16,0.1,0.16
ABHD6,0.16,0.2,0.06,0.07,0.02,0.02,0.09,0.08,0.08,0.05,0.07,0.14,0.11
ABHD8,0.06,0.11,0.04,0.1,0.04,0.08,0.21,0.18,0.17,0.13,0.17,0.14,0.13
ABI1,0.41,0.53,0.38,0.28,0.25,0.34,0.31,0.28,0.39,0.29,0.25,0.24,0.24
ABI2,0.82,0.83,0.55,0.73,0.63,0.65,0.58,0.57,0.61,0.62,0.44,0.54,0.55
ABI3,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI3BP,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.01,0.02,0.06,0.01,0.01,0.02
ABL1,0.17,0.19,0.1,0.12,0.07,0.1,0.24,0.19,0.3,0.24,0.16,0.19,0.26
ABL2,0.3,0.38,0.28,0.4,0.27,0.25,0.11,0.09,0.12,0.12,0.08,0.09,0.12
ABLIM1,0.13,0.08,0.3,0.06,0.06,0.12,0.47,0.38,0.33,0.62,0.33,0.39,0.39
ABLIM2,0.06,0.07,0.31,0.04,0.01,0.07,0.07,0.05,0.08,0.02,0.05,0.07,0.05
ABLIM3,0.06,0.06,0.07,0.06,0.07,0.12,0.01,0.02,0.0,0.01,0.0,0.0,0.02
ABO,0.0,0.01,0.01,0.0,0.01,0.02,0.09,0.12,0.22,0.29,0.16,0.24,0.25
ABR,0.15,0.32,0.08,0.21,0.14,0.12,0.2,0.17,0.1,0.08,0.09,0.16,0.12
ABRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRACL,0.44,0.72,0.06,0.18,0.11,0.11,0.76,0.77,0.66,0.27,0.42,0.74,0.55
ABRAXAS1,0.94,0.87,0.47,0.88,0.74,0.6,0.24,0.23,0.31,0.13,0.19,0.25,0.16
ABRAXAS2,0.26,0.43,0.33,0.22,0.27,0.3,0.19,0.19,0.19,0.15,0.16,0.17,0.15
ABT1,0.56,0.73,0.3,0.5,0.42,0.45,0.31,0.27,0.37,0.21,0.26,0.26,0.2
ABTB1,0.32,0.36,0.08,0.26,0.09,0.09,0.14,0.14,0.08,0.05,0.04,0.08,0.07
ABTB2,0.06,0.04,0.07,0.05,0.02,0.03,0.01,0.01,0.02,0.02,0.01,0.01,0.03
AC000032.1,0.01,0.01,0.0,0.01,0.0,0.0,0.04,0.01,0.04,0.03,0.01,0.01,0.01
AC000035.1,0.05,0.02,0.0,0.05,0.02,0.02,0.02,0.03,0.01,0.03,0.01,0.02,0.02
AC000036.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000058.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000067.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000068.1,0.03,0.05,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02
AC000068.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000068.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000093.1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000099.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000123.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000403.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC001226.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC001226.2,0.01,0.0,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.01
AC002056.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002064.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002064.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002066.1,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.02,0.01,0.01
AC002070.1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0
AC002074.1,0.03,0.01,0.1,0.02,0.01,0.06,0.01,0.0,0.01,0.0,0.01,0.0,0.0
AC002076.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002091.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002091.2,0.02,0.05,0.09,0.02,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002094.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002115.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002116.2,0.03,0.03,0.1,0.12,0.01,0.07,0.01,0.01,0.0,0.0,0.0,0.0,0.0
AC002128.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002306.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002310.1,0.11,0.17,0.01,0.06,0.06,0.05,0.08,0.06,0.11,0.04,0.05,0.07,0.04
AC002310.2,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0
AC002310.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002347.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002347.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002351.1,0.01,0.0,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002378.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
AC002383.1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002384.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002398.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002398.2,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0
AC002401.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002401.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002401.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002429.2,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002451.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.01,0.01
AC002454.1,0.01,0.0,0.0,0.01,0.02,0.03,0.24,0.23,0.06,0.03,0.04,0.07,0.07
AC002456.1,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.02,0.01,0.0,0.0,0.0
AC002463.1,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002464.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002465.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002467.1,0.21,0.18,0.16,0.28,0.22,0.31,0.03,0.02,0.04,0.02,0.02,0.02,0.02
AC002470.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002480.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002480.3,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002480.4,0.12,0.07,0.04,0.09,0.24,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002511.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0
AC002511.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002546.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002550.1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0
AC002550.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002553.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002553.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002558.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002985.1,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0
AC003001.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003002.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003002.3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003005.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003005.2,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003006.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
AC003035.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003035.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003043.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003070.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003070.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
AC003084.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003092.1,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003101.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003102.1,0.03,0.03,0.0,0.03,0.02,0.01,0.02,0.01,0.03,0.01,0.02,0.02,0.02
AC003666.1,0.0,0.0,0.07,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003681.1,0.06,0.07,0.06,0.06,0.1,0.07,0.03,0.02,0.05,0.02,0.01,0.01,0.02
AC003682.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
AC003684.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003956.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003965.1,0.01,0.01,0.02,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003973.1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003973.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003975.1,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003984.1,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003985.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003985.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003986.1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003986.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003986.3,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003988.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003991.1,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003991.2,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004009.1,0.0,0.01,0.03,0.01,0.06,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004012.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004023.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004034.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004039.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004054.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004066.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004067.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004069.1,0.02,0.01,0.01,0.01,0.11,0.05,0.01,0.0,0.01,0.0,0.01,0.01,0.0
AC004076.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004076.2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01
AC004080.1,0.02,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004080.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004080.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004112.1,0.01,0.0,0.0,0.0,0.15,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
