,Germ.GC,Germ.PGC,Germ.oocyte,Germ.oogonia_STRA8,Germ.oogonia_meiotic,Germ.pre_oocyte,Somatic.CoelEpi_LHX9,Somatic.OSE,Somatic.early_supporting,Somatic.granulosa,Somatic.preGC_I,Somatic.preGC_IIa,Somatic.preGC_IIb
SLC25A6,0.99,1.0,0.69,0.9,0.4,0.44,0.98,0.99,0.96,0.9,0.92,0.98,0.93
SLC26A1,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0
SLC26A10,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.03,0.0,0.01,0.01,0.01
SLC26A11,0.22,0.27,0.1,0.15,0.03,0.03,0.13,0.15,0.14,0.25,0.11,0.15,0.2
SLC26A2,0.21,0.2,0.1,0.19,0.1,0.18,0.12,0.11,0.13,0.1,0.11,0.11,0.13
SLC26A3,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC26A4,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC26A4-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC26A5,0.08,0.05,0.07,0.05,0.06,0.13,0.01,0.01,0.0,0.01,0.0,0.02,0.04
SLC26A6,0.16,0.27,0.18,0.21,0.05,0.14,0.05,0.05,0.06,0.06,0.07,0.06,0.07
SLC26A7,0.02,0.01,0.01,0.02,0.06,0.03,0.0,0.01,0.0,0.01,0.01,0.08,0.11
SLC26A8,0.0,0.02,0.01,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC26A9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.01,0.03,0.01,0.02
SLC27A1,0.1,0.11,0.04,0.11,0.07,0.08,0.09,0.1,0.18,0.14,0.12,0.14,0.14
SLC27A2,0.04,0.02,0.17,0.09,0.07,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0
SLC27A3,0.37,0.47,0.03,0.2,0.04,0.02,0.22,0.18,0.19,0.18,0.17,0.3,0.26
SLC27A4,0.17,0.23,0.1,0.23,0.15,0.11,0.05,0.04,0.07,0.03,0.04,0.04,0.06
SLC27A5,0.16,0.21,0.26,0.29,0.06,0.12,0.14,0.16,0.07,0.1,0.12,0.19,0.14
SLC27A6,0.02,0.01,0.13,0.04,0.02,0.04,0.01,0.04,0.07,0.66,0.06,0.13,0.25
SLC28A1,0.0,0.0,0.04,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC28A2,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0
SLC28A3,0.03,0.12,0.12,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
